Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia
C.A. Ron Santa Teresa;PC;USD;300.000;dic 2022;247
Agropecuaria EDMA, C.A.;PC;Indexada;800.000;dic 2022;242
Abril Médica Salud 2015, C.A. (PYME);PC;Indexada;50.000;dic 2022;241
Calox International, C.A.;PC;Bs;1.836.000;dic 2022;240
Calox International, C.A.;PC;Bs;1.836.000;dic 2022;239
Calox International, C.A.;PC;Bs;1.836.000;dic 2022;238
Mercantil Servicios Financieros, C.A;PC;Bs;4.000.000;dic 2022;237
Mercantil Servicios Financieros, C.A;PC;Bs;4.000.000;dic 2022;236
Agropecuaria INSA de Venezuela, C.A. (AGROINSA);PC;USD;200.000;dic 2022;235
Agropecuaria INSA de Venezuela, C.A. (AGROINSA);PC;Indexada;800.000;dic 2022;234
Compañía Venezolana de Cerámicas, C.A.;PC;Indexada;200.000;dic 2022;233
Industrias Iberia, C.A.;PC;Indexada;500.000;dic 2022;232
Laboratorios Vincenti, C.A.;PC;Indexada;300.000;dic 2022;229
Laboratorios Vincenti, C.A.;PC;Indexada;300.000;dic 2022;228
Laboratorios Vincenti, C.A.;PC;Indexada;300.000;dic 2022;227
Laboratorios Vincenti, C.A.;PC;Indexada;300.000;dic 2022;226
Suministros Sematech, C.A. (PYME);PC;Indexada;60.000;dic 2022;223
Charcutería Venezolana, C.A. (CHARVENCA);PC;Indexada;300.000;dic 2022;222
Procesadora de Alimentos Occidente, C.A. (PYME);PC;Indexada;50.000;dic 2022;220
XEAX Alimentos, C.A. (PYME);PC;Indexada;500.000;nov 2022;217
L.D. Advice Trade, C.A.;Valorem;Bs;10.000;nov 2022;216
Genia Care, C.A. ;PC;Indexada;800.000;nov 2022;215
Genia Care, C.A. ;PC;USD;400.000;nov 2022;214
General de Alimentos Nisa, C.A.;PC;Bs;1.786.000;nov 2022;211
Marsoca, C.A.;PC;Bs;500.000;nov 2022;210
Steritex, C.A.;PC;Bs;2.400.000;nov 2022;198
Grupo Trust Mediático 2014, C.A.;OQ;Indexada;2.070.000;nov 2022;196
Patriacell, C.A.;OQ;Indexada;2.490.000;nov 2022;195
Laboratorios Vincenti, C.A.;PC;USD;300.000;nov 2022;194
Laboratorios Vincenti, C.A.;PC;USD;300.000;nov 2022;193
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;192
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;191
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;190
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;189
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;188
Calox International, C.A.;PC;Bs;1.836.000;oct 2022;187
Procesadora Marsoca, C.A.;PC;Bs;500.000;oct 2022;186
Inversiones JJFD13, C.A.;Valorem;Bs;10.000;oct 2022;184
Corpocación Serca, C.A.;PC;Indexada;75.000;oct 2022;183
General de Alimentos Nisa, C.A. (GENICA);PC;Bs;1.160.000;sep 2022;182
BNCI Titularizadora, C.A.;TP;USD;1.000.000;sep 2022;181
Grupo PHX, C.A. ;PC;Bs;4.700.000;sep 2022;180
Encajas, C.A. (PYME);PC;USD;100.000;sep 2022;179
Alice Neumáticos de Venezuela, C.A.;PC;Bs;2.442.570;sep 2022;178
Grupo APRADOC, C.A.;PC;USD;500.000;sep 2022;177
Masa Brayga, C.A.;Valorem;Bs;10.000;sep 2022;174
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;173
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;172
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;171
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;170
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;169
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;168
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;167
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;166
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;165
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;164
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;163
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;sep 2022;162
PIVCA Promotora de Inversiones y Valores, C.A.;PC;USD;2.000.000;sep 2022;161
Calox International, C.A.;PC;Bs;918.000;sep 2022;160
Calox International, C.A.;PC;Bs;918.000;sep 2022;159
Calox International, C.A.;PC;Bs;918.000;sep 2022;158
Calox International, C.A.;PC;Bs;918.000;sep 2022;157
