Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia
Calox International, C.A.;PC;Bs;918.000;sep 2022;156
Calox International, C.A.;PC;Bs;918.000;sep 2022;155
Calox International, C.A.;PC;Bs;918.000;sep 2022;154
Calox International, C.A.;PC;Bs;918.000;sep 2022;153
Calox International, C.A.;PC;Bs;918.000;sep 2022;152
Calox International, C.A.;PC;Bs;918.000;sep 2022;151
Calox International, C.A.;PC;Bs;918.000;sep 2022;150
Calox International, C.A.;PC;Bs;918.000;sep 2022;149
Drocosca, C.A.;PB;Bs;300.000;sep 2022;148
Venezolana de Proyectos Integrados Vepica, C.A.;OQ;USD;200.000;sep 2022;146
Dayco Telecom, C.A.;PC;USD;900.000;sep 2022;145
Inversiones R&M 27, C.A.;Valorem;Bs;5.000;sep 2022;144
Semelab Servicios Médicos, C.A. (PYME);PC;Bs;566.700;sep 2022;143
Totopig, C.A.;Valorem;Bs;10.000;sep 2022;141
Matadero Industrial Centro Occidental, C.A. (PYME);PC;Indexada;50.000;sep 2022;140
Grupo Falcon Trade, C.A.;Valorem;Bs;10.000;sep 2022;139
Inversiones MIDA, C.A. (PYME);PC;Indexada;50.000;ago 2022;138
Inversiones MIDA, C.A. (PYME);PC;Indexada;50.000;ago 2022;137
Tesorería YMAS, C.A.;PC;Bs;2.355.000;ago 2022;136
Productos Químicos L.M.V., C.A. (PYME);PC;Bs;1.308.000;ago 2022;134
Mersan, C.A. (Grupo Merino);PC;Indexada;500.000;ago 2022;127
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;124
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;123
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;122
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;121
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;120
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;119
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;118
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;117
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;116
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;115
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;ago 2022;114
Alice Neumáticos de Venezuela, C.A.;PC;Bs;1.854.030;ago 2022;113
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jul 2022;109
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jul 2022;108
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jul 2022;107
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jul 2022;106
Maqveca, C.A. (PYME);PC;USD;200.000;jul 2022;103
Calox International, C.A.;PC;Bs;918.000;jul 2022;096
Calox International, C.A.;PC;Bs;918.000;jul 2022;095
Per Capital Titularizadora, C.A.;TP;Indexada;900.000;jul 2022;094
Corporación Kalúa 2012, C.A.;PC;Bs;700.000;jul 2022;093
Inversiones Top Suministros C.A. (PYME);PC;USD;380.000;jul 2022;090
Corporación Damasco, C.A.;PC;USD;500.000;jul 2022;089
Venezolana de Proyectos Integrados Vepica, C.A.;OQ;USD;200.000;jun 2022;086
Gismicar, S.A.;PB;Bs;2.920.000;jun 2022;084
Gismicar, S.A.;PB;Bs;3.500.000;jun 2022;083
Procesadora Marsoca, C.A.;PC;Indexada;400.000;jun 2022;081
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jun 2022;079
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jun 2022;078
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jun 2022;077
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;jun 2022;076
Mercantil Servicios Financieros, C.A;PC;Bs;2.390.000;may 2022;073
Estratek Consultores, C.A.;Valorem;Bs ;10.000;may 2022;072
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;may 2022;071
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;900.000;may 2022;070
Manufacturas de Papel, C.A. MANPA;PC;Bs;1.117.500;may 2022;068
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;200.000;abr 2022;063
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;200.000;abr 2022;062
Laboratorios Cheycal's SOMA, C.A.;PC;Indexada;400.000;abr 2022;061
Coca Cola FEMSA de Venezuela, S.A.;PC;Indexada;1.000.000;abr 2022;058
Comercializadora El Conde de Catia, C.A. (PYME);PC;Indexada;200.000;abr 2022;056
Procesadora Marsoca, C.A.;PC;Indexada;200.000;abr 2022;055
Gismicar, S.A;PB;Bs;2.178.000;mar 2022;042
Venezolana de Proyectos Integrados Vepica, C.A.;OQ;USD;200.000;mar 2022;041
Grupo APRADOC, C.A.;PC;USD;1.000.000;mar 2022;040
Quimipro de Venezuela, C.A. (PYME);PB;Indexada;150.000;mar 2022;039
Grupo Nueve Once, C.A. (PYME);PC;USD;200.000;mar 2022;037
Coca Cola FEMSA de Venezuela, S.A.;PC;Bs;1.060.000;mar 2022;036
Coca Cola FEMSA de Venezuela, S.A.;PC;Bs;1.060.000;mar 2022;035
Coca Cola FEMSA de Venezuela, S.A.;PC;Bs;1.060.000;mar 2022;034
Coca Cola FEMSA de Venezuela, S.A.;PC;Bs;1.060.000;mar 2022;033
Agropecuaria La Unión, C.A. (PYME);PC;Bs;2.295.000;mar 2022;032
Gismicar, S.A.;PB;Bs;206.483;mar 2022;029
Mersan, C.A. (Grupo Merino);PB;Indexada;250.000;feb 2022;023
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;019
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;018
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;017
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;016
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;015
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;feb 2022;014
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;011
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;010
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;009
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;008
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;007
Dayco Telecom, C.A.;PC;Bs;200.000;feb 2022;006
Calox International, C.A.;PC;USD;500.000;feb 2022;004
Genia Care, C.A. ;PC;USD;500.000;ene 2022;002
