Emisor,Emisión,Monto,Fecha,#Providencia,Dictamen,Providencia,Prospecto
"<a href=""/perfil-cliente/60005bef98a39c0024560fd9"">Laboratorios Chemycal´s SOMA, C.A.</a>",PC,"7,000,000",29 dic,282,Si,,No
"Mercantil Servicios Financieros, C.A.",PC,"150,000,000",28 dic,226,Si,,No
