Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia
Comercializadora La Alhambra, C.A.;PC;BsS;1.500.000;ene 2019;010
Alimentos Alibal, C.A.;PC;BsS;60.000.000;ene 2019;009
Avior Airlines, C.A.;OQ;BsS;200.000.000;ene 2019;008
Alimentos Difresca, C.A.;PC;BsS;3.500.000;ene 2019;007
Inversiones Simbi, C.A.;PC;BsS;5.800.000;ene 2019;006
Inversiones Simbi, C.A.;OQ;BsS;2.900.000;ene 2019;005
Automercados Plaza's, C.A.;OQ;BsS;6.000.000;ene 2019;004
Alimentos Difresca, C.A.;OQ;BsS;150.000;ene 2019;003
Alimentos Alibal, C.A.;OQ;BsS;150.000.000;ene 2019;002
Avior Airlines, C.A.;PC;BsS;300.000.000;ene 2019;001
