Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia
Automercados Plaza's, C.A.;OQ;BsS;2.000.000.000;dic 2019;146
Genia Care, C.A. ;PC;BsS;2.500.000.000;dic 2019;141
Inversiones Selva, C.A.;PC;BsS;4.000.000.000;nov 2019;139
Agropecuaria INSA de Venezuela, C.A. (AGROINSA);PC;BsS;7.500.000.000;nov 2019;138
Galaxia Médica, C.A. (Locatel);PC;BsS;5.000.000.000;nov 2019;132
Dayco Telecom, C.A.;PC;BsS;2.000.000.000;nov 2019;129
Dayco Telecom, C.A.;PC;BsS;2.000.000.000;nov 2019;128
Preparados Alimenticios Internacionales, C.A. (Arturo's);OQ;BsS;15.000.000.000;nov 2019;124
Cargill de Venezuela, S.L.R;PC;BsS;15.000.000.000;oct 2019;123
Agribrands Purina Venezuela, S.R.L;PC;BsS;5.000.000.000;oct 2019;122
Cargill de Venezuela, S.L.R;PC;BsS;15.000.000.000;oct 2019;121
Desarrollos Forestales San Carlos II, S.A. (DEFORSA);OQ;BsS;5.000.000.000;oct 2019;120
Papeles Venezolanos, C.A. (PAVECA);PC;BsS;20.000.000.000;oct 2019;119
Papeles Venezolanos, C.A. (PAVECA);OQ;BsS;5.000.000.000;oct 2019;118
Dominguez & Cía, S.A.;PC;BsS;1.000.000.000;oct 2019;116
Corporación Grupo Químico, C.A.;OQ;BsS;5.000.000.000;oct 2019;113
Destilería Carúpano, C.A.;PC;BsS;2.000.000.000;oct 2019;111
Destilería Carúpano, C.A.;OQ;BsS;500.000.000;oct 2019;109
Alimentos Difresca, C.A.;PC;BsS;3.000.000.000;sep 2019;106
Moore de Venezuela, S.A.;PC;BsS;1.250.000.000;sep 2019;103
BTP Distribuciones, S.A.;OQ;BsS;5.000.000.000;ago 2019;098
BTP Distribuciones, S.A.;PC;BsS;7.000.000.000;ago 2019;097
Asg Sociedad Titularizadora, C.A.;TP;BsS;700.000.000;ago 2019;091
Automercados Plaza's, C.A.;PC;BsS;4.500.000.000;sep 2019;089
NetUno, C.A.;PC;BsS;6.000.000.000;jul 2019;087
NetUno, C.A.;OQ;BsS;6.000.000.000;jul 2019;086
Dayco Telecom, C.A.;PC;BsS;1.000.000.000;jul 2019;085
Dayco Telecom, C.A.;PC;BsS;1.000.000.000;jul 2019;084
Central Madeirense, C.A.;PC;BsS;1.200.000.000;jul 2019;083
Central Madeirense, C.A.;OQ;BsS;800.000.000;jul 2019;082
S.A. Nacional Farmacéutica (Sanfar);OQ;BsS;500.000.000;jul 2019;077
S.A. Nacional Farmacéutica (Sanfar);PC;BsS;2.000.000.000;jun 2019;075
Charcutería Venezolana, C.A. (CHARVENCA);PC;BsS;1.400.000.000;jun 2019;073
Charcutería Venezolana, C.A. (CHARVENCA);OQ;BsS;80.000.000;jun 2019;072
Venezolana de frutas, C.A. (Venfruca);OQ;BsS;6.600.000.000;jun 2019;069
Inversiones Simbi, C.A.;PC;BsS;5.600.000.000;may 2019;057
Inversiones Simbi, C.A.;OQ;BsS;5.600.000.000;may 2019;056
Vepica, C.A.;OQ;BsS;4.500.000.000;may 2019;053
Alimentos FM, C.A. (Bio Mercados);OQ;BsS;4.000.000.000;may 2019;052
Alice Neumáticos de Venezuela, C.A.;PC;BsS;600.000.000;ago 2019;047
Alice Neumáticos de Venezuela, C.A.;OQ;BsS;120.000.000;ago 2019;046
Montana Gráfica, C.A.;OQ;BsS;8.000.000.000;may 2019;045
Preparados Alimenticios Internacionales, C.A. (Arturo's);PC;BsS;400.000.000;abr 2019;044
Preparados Alimenticios Internacionales, C.A. (Arturo's);OQ;BsS;150.000.000;abr 2019;043
Corporación Grupo Químico, C.A.;OQ;BsS;250.000.000;abr 2019;041
Corporación Grupo Químico, C.A.;PC;BsS;250.000.000;abr 2019;040
Inelectra S.A.C.A.;OQ;BsS;3.000.000;mar 2019;036
Inelectra S.A.C.A.;PC;BsS;3.000.000;mar 2019;035
Purolomo, C.A.;OQ;BsS;12.000.000;mar 2019;034
Soluciones Nutricionales Nuts, C.A.;OQ;BsS;5.000.000;mar 2019;033
Soluciones Nutricionales Nuts, C.A.;PC;BsS;5.000.000;mar 2019;032
Pasteurizadora Táchira, C.A. (Paisa);PC;BsS;1.000.000.000;mar 2019;031
Purolomo, C.A.;PC;BsS;8.000.000;feb 2019;030
Titularizadora Univerprima, C.A.;TP;BsS;10.000.000;feb 2019;029
Alimentos FM, C.A. (Bio Mercados);OQ;BsS;150.000.000;feb 2019;026
Alimentos FM, C.A. (Bio Mercados);PC;BsS;250.000.000;feb 2019;025
Inversiones Tivalca, C.A;TP;BsS;4.000.000.000;feb 2019;020
Automercados Plaza's, C.A.;PC;BsS;140.000.000;feb 2019;018
Automercados Plaza's, C.A.;OQ;BsS;60.000.000;feb 2019;017
Gismicar, S.A.;OQ;BsS;560.000.000;ene 2019;012
Moore de Venezuela, S.A.;OQ;BsS;850.000;ene 2019;011
